CUST_ANAME,ITEM_NO,ITEM_NAME,MODEL,PRICE
IGCE,898482-3840,,VD00-HR,1687.54
IGCE,898482-3830,,VD00-HR,1647.02
IGCE,898482-3770,,VD00-HR,1085.22
IGCE,898482-3710,,VD00-HR,1085.22
IGCE,898315-7373,,VD00,4610.58
IGCE,898315-7353,,VD00,4610.58
IGCE,898315-7333,,VD00,4562.41
IGCE,898315-7313,,VD00,4477.55
IGCE,898315-7293,,VD00,4477.55
IGCE,898315-7273,,VD00,4562.41
IGCE,898315-7062,,VD00,3900.4
IGCE,898315-7052,,VD00,3907.1
IGCE,898315-7033,,VD00,4106.2
IGCE,898315-7023,,VD00,4106.2
IGCE,898315-6993,,VD00,4099.5
IGCE,898315-6983,,VD00,4099.5
IGCE,898315-3733,,VD00,3531.95
IGCE,898315-3723,,VD00,3531.95
IGCE,898315-3693,,VD00,3531.95
IGCE,898315-3683,,VD00,3531.95
IGCE,897485-4160,,VD00-HR,1576.41
IGCE,897485-4150,,VD00-HR,1576.41
IMCT,897948-3490,,700P,3112.5
IMCT,897948-3480,,700P,3112.5
IMCT,897948-3470,,700P,3112.5
IMCT,897948-3460,,700P,3112.5
IMCT,897948-3450,,700P,3224.14
IMCT,897948-3440,,700P,3224.14
IMCT,897948-3370,,700P,3224.14
IMCT,897948-3360,,700P,3224.14
IMCT,897948-3290,,700P,2799.78
IMCT,897948-3280,,700P,2799.78
IMCT,897948-3270,,700P,2799.78
IMCT,897948-3260,,700P,2799.78
IMCT,897948-3250,,700P,2799.78
IMCT,897948-3240,,700P,2799.78
IMCT,897481-0260,,700P,3112.5
IMCT,897481-0250,,700P,3112.5
KET,1J881-73033,,3 SERIES,5.42
