"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 13:40:28","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151081","DFK1403228016000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151081"
"60017","2020-02-01 13:40:35","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151086","DFK1403228015000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151086"
"60017","2020-02-01 13:40:37","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151075","DFK1403228014000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151075"
"60017","2020-02-01 13:40:40","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151076","DFK1403228013000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151076"
"60017","2020-02-01 13:40:42","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151080","DFK1403228012000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151080"
"60017","2020-02-01 13:40:45","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151067","DFK1403228011000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151067"
"60017","2020-02-01 13:41:13","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151034","DFK1403228030000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151034"
"60017","2020-02-01 13:41:15","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151035","DFK1403228029000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151035"
"60017","2020-02-01 13:41:18","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151036","DFK1403228028000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151036"
"60017","2020-02-01 13:41:20","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151026","DFK1403228027000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151026"
