"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 10:13:13","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251023","AHK1000235009000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251023"
"60017","2020-02-01 10:13:16","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251022","AHK1000235008000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251022"
"60017","2020-02-01 10:13:20","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251018","AHK1000235007000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251018"
"60017","2020-02-01 10:13:32","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251007","AHK1000235012000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251007"
"60017","2020-02-01 10:13:36","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251034","AHK1000235011000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251034"
"60017","2020-02-01 10:13:39","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251035","AHK1000235010000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251035"
"60017","2020-02-01 10:13:47","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251029","AHK1000235003000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251029"
"60017","2020-02-01 10:13:50","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251036","AHK1000235002000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251036"
"60017","2020-02-01 10:13:52","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251041","AHK1000235001000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251041"
"60017","2020-02-01 10:13:57","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251019","AHK1000235006000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251019"
"60017","2020-02-01 10:14:00","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251020","AHK1000235005000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251020"
"60017","2020-02-01 10:14:05","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251024","AHK1000235004000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251024"
"60017","2020-02-01 10:14:24","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151019","DFK1403233010000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151019"
"60017","2020-02-01 10:14:27","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151003","DFK1403233011000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151003"
"60017","2020-02-01 10:14:30","898351-8020","G1M11820200128001898351-8020    FG 20200128 15JA288983518020     20200128001","DFK1403233012000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","G1M11820200128001898351-8020    FG 20200128 15JA288983518020     20200128001"
"60017","2020-02-01 10:14:34","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151011","FKK1403110002000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151011"
"60017","2020-02-01 10:14:56","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151030","FKK1403110001000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151030"
"60017","2020-02-01 10:14:58","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151013","DFK1403233013000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151013"
"60017","2020-02-01 10:15:19","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151002","DFK1403068001000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151002"
"60017","2020-02-01 10:15:21","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151020","FKK1403110004000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151020"
"60017","2020-02-01 10:15:24","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151026","FKK1403110003000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151026"
"60017","2020-02-01 10:15:32","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151018","DFK1403233001000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151018"
"60017","2020-02-01 10:15:36","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151022","DFK1403233002000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151022"
"60017","2020-02-01 10:15:40","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151025","DFK1403233003000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151025"
"60017","2020-02-01 10:15:43","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151001","DFK1403233004000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151001"
"60017","2020-02-01 10:15:46","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151021","DFK1403233005000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151021"
"60017","2020-02-01 10:15:49","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151024","DFK1403233006000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151024"
"60017","2020-02-01 10:15:53","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151027","DFK1403233007000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151027"
"60017","2020-02-01 10:15:56","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151004","DFK1403233008000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151004"
"60017","2020-02-01 10:16:00","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151033","DFK1403233009000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151033"
"60017","2020-02-01 10:16:17","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251027","DFK1403235010000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251027"
"60017","2020-02-01 10:16:20","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251016","DFK1403235011000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251016"
"60017","2020-02-01 10:16:29","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251005","DFK1403235012000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251005"
"60017","2020-02-01 10:16:32","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251021","DFK1403235013000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251021"
"60017","2020-02-01 10:16:37","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251011","FKK1403113004000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251011"
"60017","2020-02-01 10:16:47","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251010","FKK1403113003000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251010"
"60017","2020-02-01 10:17:00","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251011","FKK1403113004000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251011"
"60017","2020-02-01 10:17:03","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251021","DFK1403235013000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251021"
"60017","2020-02-01 10:17:08","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251031","FKK1403113002000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251031"
"60017","2020-02-01 10:17:11","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251009","FKK1403113001000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251009"
"60017","2020-02-01 10:17:13","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251015","DFK1403071001000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251015"
"60017","2020-02-01 10:17:25","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251057","DFK1403235007000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251057"
"60017","2020-02-01 10:17:27","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251056","DFK1403235008000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251056"
"60017","2020-02-01 10:17:29","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251061","DFK1403235009000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251061"
"60017","2020-02-01 10:17:32","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251004","DFK1403235006000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251004"
"60017","2020-02-01 10:17:34","898351-8040","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251029","DFK1403235005000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200129002898351-8040              20200129    15JA298983518040               2020012900251029"
"60017","2020-02-01 10:17:37","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251049","DFK1403235004000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251049"
"60017","2020-02-01 10:17:40","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251043","DFK1403235001000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251043"
"60017","2020-02-01 10:17:43","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251032","DFK1403235002000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251032"
"60017","2020-02-01 10:17:45","898351-8040","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251062","DFK1403235003000015000015202002018983518040GEAR;INJ PUMP   TBKK  1S     ","GAK1M12020200128002898351-8040              20200128    15JA288983518040               2020012800251062"
"60017","2020-02-01 10:17:50","898248-1601","GAK1M11920200128003898248-1601              20200128    30JA288982481601               2020012800351007","DFK1403229005000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","GAK1M11920200128003898248-1601              20200128    30JA288982481601               2020012800351007"
"60017","2020-02-01 10:17:52","898248-1601","G1M11920200128003898248-1601    FG 20200128 30JA288982481601     20200128003","DFK1403229006000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","G1M11920200128003898248-1601    FG 20200128 30JA288982481601     20200128003"
"60017","2020-02-01 10:17:55","898248-1601","G1M11920200128003898248-1601    FG 20200128 30JA288982481601     20200128003","DFK1403229007000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","G1M11920200128003898248-1601    FG 20200128 30JA288982481601     20200128003"
"60017","2020-02-01 10:17:57","898248-1601","GAK1M11920200129001898248-1601              20200128    30JA288982481601               2020012900151004","DFK1403229004000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","GAK1M11920200129001898248-1601              20200128    30JA288982481601               2020012900151004"
"60017","2020-02-01 10:18:01","898248-1601","G1M11920200129001898248-1601    FG 20200128 30JA288982481601     20200129001","DFK1403229003000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","G1M11920200129001898248-1601    FG 20200128 30JA288982481601     20200129001"
"60017","2020-02-01 10:18:04","898248-1601","GAK1M11920200129001898248-1601              20200128    30JA288982481601               2020012900151009","DFK1403229002000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","GAK1M11920200129001898248-1601              20200128    30JA288982481601               2020012900151009"
"60017","2020-02-01 10:18:07","898248-1601","GAK1M11920200129901898248-1601              20200129    30JA298982481601               2020012990151011","FKK1403106001000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","GAK1M11920200129901898248-1601              20200129    30JA298982481601               2020012990151011"
"60017","2020-02-01 10:18:09","898248-1601","GAK1M11920200129901898248-1601              20200129    30JA298982481601               2020012990151012","FKK1403106002000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","GAK1M11920200129901898248-1601              20200129    30JA298982481601               2020012990151012"
"60017","2020-02-01 10:18:13","898248-1601","GAK1M11920200129901898248-1601              20200129    30JA298982481601               2020012990151010","DFK1403229001000030000030202002018982481601GEAR ASM;CAMSHAFTBKK  1S     ","GAK1M11920200129901898248-1601              20200129    30JA298982481601               2020012990151010"
"60017","2020-02-01 10:18:38","898248-1612","GAK1M11920200127003898248-1612              20200127    30JA278982481612               2020012700251020","8982481612","GAK1M11920200127003898248-1612              20200127    30JA278982481612               2020012700251020"
"60017","2020-02-01 10:18:44","898248-1612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251012","8982481612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251012"
"60017","2020-02-01 10:18:49","898248-1612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251007","8982481612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251007"
"60017","2020-02-01 10:18:56","898248-1612","GAK1M11920200127003898248-1612              20200127    30JA278982481612               2020012700251014","8982481612","GAK1M11920200127003898248-1612              20200127    30JA278982481612               2020012700251014"
"60017","2020-02-01 10:19:04","898248-1612","G1M11920200128002898248-1612    FG 20200128 30JA288982481612     20200128002","8982481612","G1M11920200128002898248-1612    FG 20200128 30JA288982481612     20200128002"
"60017","2020-02-01 10:19:11","898248-1612","G1M11920200128902898248-1612    FG 20200128 30JA288982481612     20200128902","8982481612","G1M11920200128902898248-1612    FG 20200128 30JA288982481612     20200128902"
"60017","2020-02-01 10:19:15","898248-1612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251023","8982481612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251023"
"60017","2020-02-01 10:19:27","898248-1612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251017","8982481612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251017"
"60017","2020-02-01 10:19:31","898248-1612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251018","8982481612","GAK1M11920200128902898248-1612              20200128    30JA288982481612               2020012890251018"
"60017","2020-02-01 10:19:39","898243-2260","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151003","ANK1000500007000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151003"
"60017","2020-02-01 10:19:42","898243-2260","GAK1M08820200128901898243-2260              20200128    15JA288982432260               2020012890151011","ANK1000500008000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128901898243-2260              20200128    15JA288982432260               2020012890151011"
"60017","2020-02-01 10:19:54","898243-2260","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151013","ANK1000500006000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151013"
"60017","2020-02-01 10:19:58","898243-2260","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151017","ANK1000500005000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151017"
"60017","2020-02-01 10:20:02","898243-2260","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151014","ANK1000500004000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151014"
"60017","2020-02-01 10:20:05","898243-2260","GAK1M08820200128901898243-2260              20200128    15JA288982432260               2020012890151010","ANK1000500002000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128901898243-2260              20200128    15JA288982432260               2020012890151010"
"60017","2020-02-01 10:20:09","898243-2260","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151010","ANK1000500003000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151010"
"60017","2020-02-01 10:20:20","898011-8901","GEK1M067           898011-8901              20200113     5JA138980118901                       00151984","ANK1000495006000005000005202002018980118901BRKT;C/RAIL     TBKK  PCD    ","GEK1M067           898011-8901              20200113     5JA138980118901                       00151984"
"60017","2020-02-01 10:20:22","898011-8901","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151011","ANK1000495005000015000015202002018980118901BRKT;C/RAIL     TBKK  PCD    ","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151011"
"60017","2020-02-01 10:20:25","898011-8901","G1M06720200113001898011-8901    FG 20200113 15JA138980118901     20200113001","ANK1000495003000015000015202002018980118901BRKT;C/RAIL     TBKK  PCD    ","G1M06720200113001898011-8901    FG 20200113 15JA138980118901     20200113001"
"60017","2020-02-01 10:20:31","898011-8901","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151007","ANK1000495004000015000015202002018980118901BRKT;C/RAIL     TBKK  PCD    ","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151007"
"60017","2020-02-01 10:20:36","898243-2260","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151009","ANK1000500001000015000015202002018982432260COVER;TIMING CHATBKK  PCD    ","GAK1M08820200128001898243-2260              20200128    15JA288982432260               2020012800151009"
"60017","2020-02-01 10:20:39","898011-8901","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151006","ANK1000495002000015000015202002018980118901BRKT;C/RAIL     TBKK  PCD    ","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151006"
"60017","2020-02-01 10:20:45","898011-8901","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151010","ANK1000495001000015000015202002018980118901BRKT;C/RAIL     TBKK  PCD    ","GAK1M06720200114001898011-8901              20200114    15JA148980118901               2020011400151010"
"60017","2020-02-01 10:21:01","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151027","DFK1403238035000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151027"
"60017","2020-02-01 10:21:04","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151013","DFK1403238034000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151013"
"60017","2020-02-01 10:21:08","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151014","DFK1403238033000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151014"
"60017","2020-02-01 10:21:11","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151011","DFK1403238032000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151011"
"60017","2020-02-01 10:21:14","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151012","DFK1403238031000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151012"
"60017","2020-02-01 10:21:18","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151036","DFK1403238030000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151036"
"60017","2020-02-01 10:21:22","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151026","DFK1403238029000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151026"
"60017","2020-02-01 10:21:24","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151017","DFK1403238028000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151017"
"60017","2020-02-01 10:21:26","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151021","DFK1403238027000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151021"
"60017","2020-02-01 10:21:29","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151023","DFK1403238026000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151023"
"60017","2020-02-01 10:21:33","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151039","DFK1403238025000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151039"
"60017","2020-02-01 10:21:38","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151016","DFK1403238024000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151016"
"60017","2020-02-01 10:21:41","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151001","DFK1403238023000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151001"
"60017","2020-02-01 10:21:43","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151002","DFK1403238022000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151002"
"60017","2020-02-01 10:21:45","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151003","DFK1403238021000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151003"
"60017","2020-02-01 10:21:49","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151040","DFK1403238040000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151040"
"60017","2020-02-01 10:21:51","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151019","DFK1403238039000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151019"
"60017","2020-02-01 10:21:54","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151020","DFK1403238038000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151020"
"60017","2020-02-01 10:21:57","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151009","DFK1403238037000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151009"
"60017","2020-02-01 10:21:59","898382-8360","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151010","DFK1403238036000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129901898382-8360              20200129     5JA298983828360               2020012990151010"
"60017","2020-02-01 10:22:03","898382-8360","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151054","DFK1403238020000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151054"
"60017","2020-02-01 10:22:08","898382-8360","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151055","DFK1403238019000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151055"
"60017","2020-02-01 10:22:10","898382-8360","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151056","DFK1403238018000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151056"
"60017","2020-02-01 10:22:12","898382-8360","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151045","DFK1403238017000005000005202002018983828360PUMP ASM;WATER  TBKK  1S     ","GAK1A01720200129001898382-8360              20200129     5JA298983828360               2020012900151045"
