"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60012","2019-11-05 10:39:25","898315-3733","GAK1B09320191021002898315-3733              20191021     4IJ21                         2019102100251007","GAK1B09320191024002898315-3733              20191024     4IJ24                         2019102400251001"
"60012","2019-11-05 10:39:46","898315-3733","GAK1B09320191024002898315-3733              20191024     4IJ24                         2019102400251001","GAK1B09320191024002898315-3733              20191024     4IJ24                         2019102400251002"
"60012","2019-11-05 10:40:05","898315-3733","GAK1B09320191024002898315-3733              20191024     4IJ24                         2019102400251003","GEK1B093           898315-3733              20191028     4IJ28                         2019102800251894"
"60012","2019-11-05 10:40:26","898315-3733","GEK1B093           898315-3733              20191028     2IJ28                         2019102800251893","GEK1B093           898315-3733              20191028     4IJ28                         2019102800251894"
"60012","2019-11-05 10:40:48","898315-3723","GAK1B09320191021001898315-3723              20191021     4IJ21                         2019102100151007","GAK1B09320191028001898315-3723              20191028     4IJ28                         2019102800151005"
"60012","2019-11-05 10:41:06","898315-3723","GAK1B09320191024001898315-3723              20191024     4IJ24                         2019102400151003","GAK1B09320191024001898315-3723              20191024     4IJ24                         2019102400151002"
"60012","2019-11-05 10:41:21","898315-3723","GAK1B09320191024001898315-3723              20191024     4IJ24                         2019102400151001","GAK1B09320191021001898315-3723              20191021     4IJ21                         2019102100151009"
"60012","2019-11-05 10:48:37","898315-3733","GEK1B093           898315-3733              20191028     4IJ28                         2019102800251894","8983153733"
"60012","2019-11-05 10:48:52","898315-3733","GEK1B093           898315-3733              20191028     2IJ28                         2019102800251893","GEK1B093           898315-3733              20191021     2IJ21                         2019102800251892"
"60016","2019-11-05 10:48:55","898315-3723","GAK1B09320191021001898315-3723              20191021     4IJ21                         2019102100151009","8983153723"
"60016","2019-11-05 10:49:02","898315-3723","GAK1B09320191024001898315-3723              20191024     4IJ24                         2019102400151001","8983153723"
"60016","2019-11-05 10:49:11","898315-3723","GAK1B09320191024001898315-3723              20191024     4IJ24                         2019102400151002","8983153723"
"60016","2019-11-05 10:49:18","898315-3723","GAK1B09320191024001898315-3723              20191024     4IJ24                         2019102400151003","8983153723"
"60016","2019-11-05 10:49:26","898315-3723","GAK1B09320191028001898315-3723              20191028     4IJ28                         2019102800151005","8983153723"
"60016","2019-11-05 10:49:33","898315-3723","GAK1B09320191021001898315-3723              20191021     4IJ21                         2019102100151007","8983153723"
"60016","2019-11-05 10:49:51","898315-7052","GAK1B09320191021007898315-7052              20191021     4IJ21                         2019102100751006","8983157052"
"60016","2019-11-05 10:49:57","898315-7052","GAK1B09320191021007898315-7052              20191021     4IJ21                         2019102100751005","8983157052"
"60016","2019-11-05 10:50:01","898315-7052","GAK1B09320191021007898315-7052              20191021     4IJ21                         2019102100751004","8983157052"
"60016","2019-11-05 10:50:23","898315-7052","G1B09320191021007898315-7052       20191021  4IJ21               20191021007","8983157052"
"60016","2019-11-05 10:50:29","898315-7052","GAK1B09320191021007898315-7052              20191021     4IJ21                         2019102100751002","8983157052"
"60016","2019-11-05 10:50:35","898315-7052","GAK1B09320191021007898315-7052              20191021     4IJ21                         2019102100751001","8983157052"
"60016","2019-11-05 10:50:41","897948-3440","GAK1B09320191025005897948-3440              20191025     4IJ25                         2019102500551006","8979483440"
"60016","2019-11-05 10:50:47","897948-3440","GAK1B09320191022005897948-3440              20191022     4IJ22                         2019102200551009","8979483440"
"60016","2019-11-05 10:50:55","897948-3450","GAK1B09320191022006897948-3450              20191022     4IJ22                         2019102200651001","8979483450"
"60016","2019-11-05 10:50:58","897948-3440","GAK1B09320191022005897948-3440              20191022     4IJ22                         2019102200551008","8979483440"
"60016","2019-11-05 10:51:06","897948-3450","GEK1B093           897948-3450              20191022     2IJ22                         2019102500651897","8979483450"
"60016","2019-11-05 10:51:18","897948-3450","GAK1B09320191025006897948-3450              20191025     4IJ25                         2019102500651001","8979483450"
"60016","2019-11-05 10:51:35","897948-3370","GEK1B093           897948-3370              20191022     2IJ22                         2019102500451895","8979483370"
"60016","2019-11-05 10:51:40","897948-3370","GAK1B09320191025004897948-3370              20191025     4IJ25                         2019102500451003","8979483370"
"60016","2019-11-05 10:51:46","897948-3370","GAK1B09320191022004897948-3370              20191022     4IJ22                         2019102200451007","8979483370"
