"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60012","2019-11-04 12:18:30","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151046","FYJO410293003000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:18:32","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151043","FYJO410293004000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:18:34","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151042","FYJO410293005000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:18:41","897534-0090","GAK1A01720191007003897534-0090              20191007     5IJ07                         2019100700351001","FBJO601816001000010000010201911048975340090PUMP ASM;WATER  TBKK  1S     "
"60015","2019-11-04 13:02:00","898382-8360","GAK1A01720191028002898382-8360              20191028     5IJ288983828360               2019102800251048","FKJO402893006000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60015","2019-11-04 13:02:04","898382-8360","GAK1A01720191028002898382-8360              20191028     5IJ288983828360               2019102800251033","FKJO402893007000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60015","2019-11-04 13:02:47","897485-4160","GEK1B097           897485-4160              20191030     2IJ30                         2019103000251924","J68974854160"
"60015","2019-11-04 13:02:56","897485-4160","GAK1B09720191030002897485-4160              20191030     4IJ308974854160                       00251002","J68974854160"
"60015","2019-11-04 13:03:06","897485-4150","GEK1B097           897485-4150              20191030     2IJ30                         2019103000151923","J68974854150"
"60015","2019-11-04 13:03:16","897485-4150","GAK1B09720191030001897485-4150              20191030     4IJ308974854150                       00151002","J68974854150"
"60015","2019-11-04 13:03:29","898315-3683","GEK1B093           898315-3683              20191016     2IJ16                         2019101600151921","J68983153683"
"60015","2019-11-04 13:03:36","898315-3693","GEK1B093           898315-3693              20191016     2IJ16                         2019101600251922","J68983153693"
"60015","2019-11-04 13:03:43","898315-3693","GAK1B09320191016002898315-3693              20191016     4IJ16                         2019101600251002","J68983153693"
"60015","2019-11-04 13:03:49","898315-3683","GAK1B09320191016001898315-3683              20191016     4IJ16                         2019101600151001","J68983153683"
"60015","2019-11-04 13:04:00","898482-3770","GAK1B09720191101004898482-3770              20191101     2IK018984823770                       00451005","J68984823770"
"60015","2019-11-04 13:04:11","898482-3770","GAK1B09720191101004898482-3770              20191101     4IK018984823770                       00451004","J68984823770"
"60015","2019-11-04 13:04:20","898482-3710","GAK1B09720191101003898482-3710              20191101     2IK018984823710                       00351005","J68984823710"
"60015","2019-11-04 13:04:30","898482-3710","GAK1B09720191101003898482-3710              20191101     4IK018984823710                       00351004","J68984823710"
"60012","2019-11-04 14:02:21","898351-8350","GAK1A02620191008001898351-8350              20191008     5IJ088983518350               2019100800151041","SV8983518350"
"60012","2019-11-04 14:02:27","898243-2260","GAK1M08820191025001898243-2260              20191025    15IJ258982432260               2019102500151016","ANJO000502002000015000015201911048982432260COVER;TIMING CHATBKK  PCD    "
"60012","2019-11-04 14:02:30","898243-2260","GAK1M08820191025001898243-2260              20191025    15IJ258982432260               2019102500151009","ANJO000502003000015000015201911048982432260COVER;TIMING CHATBKK  PCD    "
"60012","2019-11-04 14:02:35","898243-2260","GAK1M08820191025001898243-2260              20191025    15IJ258982432260               2019102500151010","ANJO000502004000015000015201911048982432260COVER;TIMING CHATBKK  PCD    "
"60012","2019-11-04 14:02:42","898243-2260","GAK1M08820191025001898243-2260              20191025    15IJ258982432260               2019102500151015","ANJO000502005000015000015201911048982432260COVER;TIMING CHATBKK  PCD    "
"60012","2019-11-04 14:02:58","898243-2260","GAK1M08820191025001898243-2260              20191025    15IJ258982432260               2019102500151001","ANJO000502001000015000015201911048982432260COVER;TIMING CHATBKK  PCD    "
"60012","2019-11-04 14:03:06","898011-8901","GAK1M06720191011001898011-8901              20191011    15IJ118980118901               2019101100151004","ANJO000496001000015000015201911048980118901BRKT;C/RAIL     TBKK  PCD    "
"60012","2019-11-04 14:03:12","898011-8901","GAK1M06720191011001898011-8901              20191011    15IJ118980118901               2019101100151003","ANJO000496002000015000015201911048980118901BRKT;C/RAIL     TBKK  PCD    "
"60012","2019-11-04 14:03:20","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151015","FKJO403035003000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:22","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151003","FKJO403035004000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:24","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151014","FKJO403035005000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:27","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151018","DFJO402208004000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:29","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151009","FKJO403035001000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:38","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151013","FKJO403035002000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:41","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151011","DFJO402208001000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:43","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151007","DFJO402208002000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:03:52","898248-1601","GAK1M11920191028001898248-1601              20191028    30IJ288982481601               2019102800151006","DFJO402208003000030000030201911048982481601GEAR ASM;CAMSHAFTBKK  1S     "
"60012","2019-11-04 14:04:13","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151021","8982481612"
"60012","2019-11-04 14:04:22","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151020","8982481612"
"60012","2019-11-04 14:04:27","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151016","8982481612"
"60012","2019-11-04 14:04:34","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151008","8982481612"
"60012","2019-11-04 14:04:48","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151005","8982481612"
"60012","2019-11-04 14:05:05","898248-1612","G1M11920191025001898248-1612    FG 20191025 30IJ258982481612     20191025001","8982481612"
"60012","2019-11-04 14:05:12","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151015","8982481612"
"60012","2019-11-04 14:05:27","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151006","8982481612"
"60012","2019-11-04 14:05:35","898248-1612","GAK1M11920191025001898248-1612              20191025    30IJ258982481612               2019102500151012","8982481612"
"60012","2019-11-04 14:05:45","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151025","FKJO402888001000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:05:47","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151012","FKJO402888002000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:05:51","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151001","FKJO402888003000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:05:53","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151002","FKJO402888004000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:05:58","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151005","FKJO402888005000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:03","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151024","FKJO402888006000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:07","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151023","FKJO402888007000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:09","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151022","FKJO402888008000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:11","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151021","FKJO402888009000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:15","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151011","FKJO402888010000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:19","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151028","FKJO402888011000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
