"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60016","2020-01-22 01:43:51","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251032","FKK1401629014000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:54","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251032","FKK1401629013000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:58","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151005","FKK1401629012000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:44:07","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151005","FKK1401629012000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:44:10","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151001","FKK1401629011000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:44:14","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151013","FKK1401629010000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:44:22","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151002","FYK1404372010000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:25","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151003","FYK1404372011000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:27","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151010","FYK1404372012000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:34","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151008","FYK1404372001000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:37","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151009","FYK1404372002000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:39","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151012","FYK1404372003000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:46","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151012","FYK1404372004000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:56","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151012","FYK1404372005000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:44:59","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151011","FYK1404372006000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:06","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151005","FYK1404372007000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:10","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151005","FYK1404372008000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:16","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151005","FYK1404372009000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:23","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151015","DDK1402128004000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:25","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151016","DDK1402128005000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:34","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151013","DDK1402128006000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:36","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151017","DDK1402128007000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:51","898243-2260","GEK1M088           898243-2260              20200118     6JA18898243-2260                      90151960","DDK1402128010000006000006202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:45:53","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151019","DDK1402128008000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
