"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60017","2019-11-05 08:50:58","1132A100","GAK1M076201911019011132A100                 20191101    12IK011132A100G                2019110190151025","1132A100"
"60017","2019-11-05 08:51:00","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151027","1132A100"
"60017","2019-11-05 08:51:04","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151013","1132A100"
"60017","2019-11-05 08:51:08","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151030","1132A100"
"60017","2019-11-05 08:51:13","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151002","1130A230"
"60017","2019-11-05 08:51:15","1130A230","GAK1M120201910299011130A230                 20191029    12IJ291130A230G                2019102990151033","1130A230"
"60017","2019-11-05 08:51:17","1130A230","GAK1M120201910299011130A230                 20191029    12IJ291130A230G                2019102990151031","1130A230"
"60017","2019-11-05 08:51:19","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151003","1130A230"
"60017","2019-11-05 08:51:21","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151009","1130A230"
"60017","2019-11-05 08:51:31","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151004","1130A230"
"60017","2019-11-05 08:51:34","1130A230","GAK1M120201910299011130A230                 20191029    12IJ291130A230G                2019102990151012","1130A230"
"60017","2019-11-05 08:51:36","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151014","1130A230"
"60017","2019-11-05 08:51:38","1130A230","GAK1M120201910309021130A230                 20191031    12IJ311130A230G                2019103090251017","1130A230"
"60017","2019-11-05 08:51:40","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151035","1130A230"
"60017","2019-11-05 08:51:42","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151049","1130A230"
"60017","2019-11-05 08:51:44","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151029","1130A230"
"60017","2019-11-05 08:51:47","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151030","1130A230"
"60017","2019-11-05 08:51:50","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151019","1130A230"
"60017","2019-11-05 08:51:56","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151032","1132A100"
"60017","2019-11-05 08:51:59","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151031","1132A100"
"60017","2019-11-05 08:52:02","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151036","1132A100"
"60017","2019-11-05 08:52:06","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151039","1132A100"
