"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1401572","2019-01-16","2019-01-21","2019-01-22","15:00:00","2019/01/22","01","200","200"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-12","2019-02-13","00:00:00","","02","600","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1401611","2019-01-16","2019-01-21","2019-01-22","10:00:00","2019/01/22","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1401407","2019-01-16","2019-01-21","2019-01-22","10:00:00","2019/01/22","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-26","2019-03-27","00:00:00","","03","645","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1401610","2019-01-16","2019-01-21","2019-01-22","04:30:00","2019/01/22","01","200","200"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-15","2019-02-18","00:00:00","","02","500","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1402135","2019-01-22","2019-01-23","2019-01-24","23:30:00","2019/01/24","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-15","2019-02-19","00:00:00","","02","800","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-14","2019-03-15","00:00:00","","03","676","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1401957","2019-01-18","2019-01-23","2019-01-24","15:00:00","2019/01/24","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-15","2019-02-20","00:00:00","","02","600","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1401935","2019-01-18","2019-01-23","2019-01-24","15:00:00","2019/01/24","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-08","2019-02-09","00:00:00","","02","600","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-15","2019-02-16","00:00:00","","02","700","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1401757","2019-01-18","2019-01-23","2019-01-24","10:00:00","2019/01/24","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-08","2019-02-11","00:00:00","","02","600","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1401934","2019-01-18","2019-01-23","2019-01-24","10:00:00","2019/01/24","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1401956","2019-01-18","2019-01-23","2019-01-24","04:30:00","2019/01/24","01","200","200"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800300","2019-01-22","2019-01-23","2019-01-24","00:00:00","2019/01/24","01","1","1"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-02","2019-04-03","00:00:00","","04","735","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400962","2019-01-11","2019-01-16","2019-01-17","15:00:00","2019/01/17","01","200","200"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1400786","2019-01-11","2019-01-16","2019-01-17","15:00:00","2019/01/17","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1400900","2019-01-11","2019-01-16","2019-01-17","10:00:00","2019/01/17","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-08","2019-04-09","00:00:00","","04","246","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400961","2019-01-11","2019-01-16","2019-01-17","04:30:00","2019/01/17","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1400899","2019-01-11","2019-01-16","2019-01-17","04:30:00","2019/01/17","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-22","2019-02-23","00:00:00","","02","800","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1401151","2019-01-14","2019-01-16","2019-01-17","23:30:00","2019/01/17","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1401041","2019-01-14","2019-01-16","2019-01-17","23:30:00","2019/01/17","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-28","2019-03-01","00:00:00","","03","700","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-15","2019-03-16","00:00:00","","03","676","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-15","2019-03-18","00:00:00","","03","788","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-02-26","2019-02-27","00:00:00","","02","600","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400576","2019-01-10","2019-01-14","2019-01-15","04:30:00","2019/01/15","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-22","2019-03-25","00:00:00","","03","645","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1400755","2019-01-10","2019-01-14","2019-01-15","23:30:00","2019/01/15","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400578","2019-01-10","2019-01-14","2019-01-15","15:00:00","2019/01/15","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1400489","2019-01-10","2019-01-14","2019-01-15","15:00:00","2019/01/15","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-22","2019-04-23","00:00:00","","04","753","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1400578","2019-01-10","2019-01-14","2019-01-15","15:00:00","2019/01/15","01","200","200"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400577","2019-01-10","2019-01-14","2019-01-15","10:00:00","2019/01/15","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800106","2019-01-15","2019-01-16","2019-01-17","00:00:00","2019/01/17","01","1","1"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFID800135","2019-01-05","2019-01-05","2019-01-07","00:00:00","2019/01/07","01","4","4"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403464","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKID403104","2019-01-05","2019-01-05","2019-01-07","23:30:00","2019/01/07","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403334","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403289","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1402751","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403335","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403290","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403291","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","02","100","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-25","2019-04-26","00:00:00","","04","753","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400126","2019-01-07","2019-01-09","2019-01-10","23:30:00","2019/01/10","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-27","2019-04-29","00:00:00","","04","850","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKID403486","2019-01-05","2019-01-09","2019-01-10","15:00:00","2019/01/10","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-18","2019-03-19","00:00:00","","03","788","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBID402117","2019-01-05","2019-01-09","2019-01-10","15:00:00","2019/01/10","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFID403319","2019-01-05","2019-01-09","2019-01-10","15:00:00","2019/01/10","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800329","2019-01-28","2019-01-28","2019-01-28","08:00:00","2019/01/28","01","30","30"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFID403318","2019-01-05","2019-01-09","2019-01-10","10:00:00","2019/01/10","01","200","200"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1402874","2019-01-25","2019-01-28","2019-01-29","23:30:00","2019/01/29","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKID403485","2019-01-05","2019-01-09","2019-01-10","04:30:00","2019/01/10","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1402425","2019-01-25","2019-01-28","2019-01-29","23:30:00","2019/01/29","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403715","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1402688","2019-01-24","2019-01-28","2019-01-29","15:00:00","2019/01/29","01","200","200"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403793","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-29","2019-03-30","00:00:00","","03","645","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1402687","2019-01-24","2019-01-28","2019-01-29","10:00:00","2019/01/29","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403067","2019-01-28","2019-01-30","2019-01-31","10:00:00","2019/01/31","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403716","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1402278","2019-01-24","2019-01-28","2019-01-29","10:00:00","2019/01/29","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1402571","2019-01-28","2019-01-30","2019-01-31","10:00:00","2019/01/31","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403717","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1401926","2019-01-22","2019-01-24","2019-01-25","15:00:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1402594","2019-01-24","2019-01-28","2019-01-29","04:30:00","2019/01/29","01","200","200"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1402893","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","04","246","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1402109","2019-01-22","2019-01-24","2019-01-25","15:00:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800335","2019-01-28","2019-01-28","2019-01-29","00:00:00","2019/01/29","01","30","30"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403794","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1402108","2019-01-22","2019-01-24","2019-01-25","10:00:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800341","2019-01-28","2019-01-28","2019-01-29","00:00:00","2019/01/29","01","30","30"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403795","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1402136","2019-01-22","2019-01-24","2019-01-25","04:30:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1601154","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","15","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1401925","2019-01-22","2019-01-24","2019-01-25","04:30:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1403881","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","100","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1402308","2019-01-22","2019-01-24","2019-01-25","23:30:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1402294","2019-01-22","2019-01-24","2019-01-25","23:30:00","2019/01/25","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800318","2019-01-22","2019-01-24","2019-01-25","00:00:00","2019/01/25","01","15","15"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-20","2019-03-21","00:00:00","","03","788","0"
