"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-26","1:Firm","D20220","MMTH-Free Zone","1052B382","1052B382-LP","4N15","23K9000223","2019-02-26","2019-02-26","2019-02-26","00:00:00","2019/02/26","20","0"
"2019-02-27","1:Firm","D20220","MMTH-Free Zone","1052B382","1052B382-LP","4N15","23K9000223","2019-02-25","2019-02-25","2019-02-26","08:00:00","2019/02/26","20","20"
"2019-02-28","1:Firm","D20220","MMTH-Free Zone","1052B382","1052B382-LP","4N15","23K9000223","2019-02-25","2019-02-25","2019-02-26","08:00:00","2019/02/26","20","20"
"2019-03-01","1:Firm","D20220","MMTH-Free Zone","1052B382","1052B382-LP","4N15","23K9000223","2019-02-25","2019-02-25","2019-02-26","08:00:00","2019/02/26","20","20"
