"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-24","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1050B375","1050B375-LP","SU-4N15","23S9405508","2019-02-19","2019-02-20","2019-02-20","08:00:00","2019/02/23","2","2"
"2019-02-24","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1050B375","1050B375-LP","SU-4N15","23S9394954","2019-02-19","2019-02-20","2019-02-20","08:00:00","2019/02/20","5","5"
"2019-02-24","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1050B375","1050B375-LP","SU-4N15","23S9387358","2019-02-19","2019-02-20","2019-02-20","08:00:00","2019/02/20","4","4"
"2019-02-24","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","31M9062106","2019-02-23","2019-03-06","2019-03-07","00:00:00","2019/03/07","30","0"
"2019-02-24","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","31M9062105","2019-02-23","2019-03-06","2019-03-07","00:00:00","2019/03/07","60","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","23M9BA2263","2019-02-13","2019-02-22","2019-02-23","19:00:00","2019/02/23","168","168"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","31M9BB9812","2019-02-23","2019-03-06","2019-03-07","00:00:00","2019/03/07","168","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5674","2019-01-23","2019-02-02","2019-02-04","19:00:00","2019/02/04","168","168"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","23M9BA2260","2019-02-13","2019-02-22","2019-02-23","13:00:00","2019/02/23","168","168"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","31M9BB9804","2019-02-23","2019-03-06","2019-03-07","00:00:00","2019/03/07","168","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5673","2019-01-23","2019-02-02","2019-02-04","13:00:00","2019/02/04","168","168"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","23M9BA2258","2019-02-13","2019-02-22","2019-02-23","05:00:00","2019/02/23","168","168"
