"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-25","2019-12-26","00:00:00","","12","486","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-11","2019-12-12","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-30","2019-12-02","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-09","2019-12-10","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-12","2019-11-13","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-19","2019-11-20","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-23","2019-12-24","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-01","2019-11-04","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-04","2019-11-05","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-09","2019-11-11","00:00:00","","11","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJ9800668","2019-09-25","2019-10-02","2019-10-03","00:00:00","2019/10/03","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-19","2019-12-20","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-02","2019-12-03","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-26","2019-11-27","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-15","2019-11-18","00:00:00","","11","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800338","2019-10-09","2019-10-16","2019-10-17","00:00:00","2019/10/17","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-05","2019-11-06","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-04","2019-12-09","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-27","2019-11-28","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-08","2019-11-09","00:00:00","","11","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800335","2019-10-09","2019-10-11","2019-10-14","00:00:00","2019/10/14","10","600","600"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800336","2019-10-09","2019-10-11","2019-10-15","00:00:00","2019/10/15","10","600","600"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800178","2019-10-03","2019-10-11","2019-10-12","00:00:00","2019/10/12","10","600","600"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800176","2019-10-03","2019-10-07","2019-10-08","00:00:00","2019/10/08","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-10","2019-12-11","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-13","2019-12-16","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-24","2019-12-25","00:00:00","","12","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJ9800669","2019-09-25","2019-10-04","2019-10-05","00:00:00","2019/10/05","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-22","2019-11-25","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-25","2019-11-26","00:00:00","","11","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800337","2019-10-09","2019-10-15","2019-10-16","00:00:00","2019/10/16","10","600","600"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJ9800667","2019-09-25","2019-09-27","2019-10-01","00:00:00","2019/10/01","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-16","2019-12-17","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-18","2019-11-19","00:00:00","","11","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800339","2019-10-09","2019-10-18","2019-10-19","00:00:00","2019/10/19","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-03","2019-12-04","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-13","2019-11-14","00:00:00","","11","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-11-28","2019-11-29","00:00:00","","11","291","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-18","2019-12-19","00:00:00","","12","600","0"
"2019-10-21","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMJO800177","2019-10-03","2019-10-09","2019-10-10","00:00:00","2019/10/10","10","600","600"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-10-28","2019-10-29","00:00:00","","10","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-17","2019-12-18","00:00:00","","12","600","0"
"2019-10-21","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2019-10-21","2019-12-20","2019-12-23","00:00:00","","12","600","0"
