"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-03-13","1:Firm","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","DDJ2402332","2019-02-27","2019-03-01","2019-03-02","15:00:00","2019/03/02","180","180"
"2019-03-13","1:Firm","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","FYJ2407912","2019-02-27","2019-03-01","2019-03-02","10:00:00","2019/03/02","180","180"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-03-26","2019-03-27","00:00:00","","540","0"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-26","2019-04-27","00:00:00","","390","0"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-03-22","2019-03-23","00:00:00","","360","0"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-03-22","2019-03-25","00:00:00","","360","0"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-01","2019-04-02","00:00:00","","540","0"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-05-21","2019-05-22","00:00:00","","504","0"
"2019-03-13","1:Firm","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","DDJ3400415","2019-03-06","2019-03-07","2019-03-08","15:00:00","2019/03/08","180","180"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-24","2019-04-25","00:00:00","","45","0"
"2019-03-13","1:Firm","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","FYJ3400759","2019-03-06","2019-03-07","2019-03-08","10:00:00","2019/03/08","180","180"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-24","2019-04-25","00:00:00","","108","0"
"2019-03-13","1:Firm","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","FYJ3401079","2019-03-06","2019-03-07","2019-03-08","15:00:00","2019/03/08","180","180"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-24","2019-04-25","00:00:00","","390","0"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-03-18","2019-03-19","00:00:00","","360","0"
"2019-03-13","1:Firm","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","FYJ3401080","2019-03-06","2019-03-08","2019-03-09","15:00:00","2019/03/09","180","180"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-05-27","2019-05-28","00:00:00","","360","0"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-02","2019-04-03","00:00:00","","540","0"
"2019-03-13","2:Daily forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-04-04","2019-04-05","00:00:00","","540","0"
"2019-03-13","10:Total forecast","D20110","IEMT","8973121474","897312-1474","WATER PUMP ASSY","4JJ1","","2019-03-13","2019-05-17","2019-05-20","00:00:00","","504","0"
