"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-03-01","1:Firm","D20331","KET-900","1J86473031","1J864-73031-SP","3 SERIES","30595144","2019-02-08","2019-02-11","2019-02-12","00:00:00","2019/02/12","20","20"
"2019-03-09","1:Firm","D20331","KET-900","1J86473031","1J864-73031-SP","3 SERIES","30605968","2019-03-09","2019-03-29","2019-04-01","00:00:00","2019/04/01","20","0"
"2019-03-10","1:Firm","D20331","KET-900","1J86473031","1J864-73031-SP","3 SERIES","30605968","2019-03-09","2019-03-29","2019-04-01","00:00:00","2019/04/01","20","0"
"2019-03-11","1:Firm","D20331","KET-900","1J86473031","1J864-73031-SP","3 SERIES","30605968","2019-03-11","2019-03-29","2019-04-01","00:00:00","2019/04/01","20","0"
"2019-03-12","1:Firm","D20331","KET-900","1J86473031","1J864-73031-SP","3 SERIES","30605968","2019-03-12","2019-03-29","2019-04-01","00:00:00","2019/04/01","20","0"
